"name","sku","description","type"
"Ganesha Purana Card","GAN-BL-PL","Ganesha Purana, Hindu Elephant-Deity Card","
Greeting Card With Matching Envelope"
"Lord Ganesha Card","GAN-FL-PL","Ganesha, The Elephant God, Patron of Arts and Sciences","
Greeting Card With Matching Envelope"
"Lord Ganesh Embellished Card","GAN-FL-EMB","In Hindu mythology, Lord Ganesh (or Ganesha) is the son of Lord Shiva and the Divine Mother Parvati. GANA means 'all existing beings in names and forms,' and ISHA means 'Lord.' Ganesh removes all obstacles and ensures success in human endeavors. He is an archetype of Wisdom and Beneficence.","
Greeting Card Hand-embellished with Glitter and Crystals, with Matching Envelope"
"Lord Ganesh Card","GAN-YE-PL","Ganesh, Lord of Success Card","
Greeting Card With Matching Envelope"
"Lord Ganesh Embellished Card","GAN-YE-EMB","Remover of Obstacles - In Hindu mythology, Lord Ganesh (or Ganesha) is the son of Lord Shiva and the Divine Mother Parvati. GANA means 'all existing beings in names and forms,' and ISHA means 'Lord.' Ganesh removes all obstacles and ensures success in human endeavors. He is an archetype of Wisdom and Beneficence.","
Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope"
"Green Tara Embellished Card","GT-2-EMB","Tara was born of a tear of Avalokiteshwara ~ she is the Mother of Compassion who answers all prayers. Tara appears in as many as 21 different forms and colors, of which White and Green are the oldest. Tara offers health, long life, growth, prosperity and protection to all who call on her.","
Greeting Card Hand-Embellished With Glitter and Crystals, With Matching Envelope"
"Mother Tara Card","GT-2-PL","Mother Tara (Jetsun Dolma in Tibetan) Card","
Greeting Card With Matching Envelope"
"Green Tara Embellished Card","GT-3-EMB","Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope",""
"Our Lady of Guadalupe Card","GUAD-OH-PL","
Virgin Of Guadalupe Card
Greeting Card With Matching Envelope","
"
"Mary Of Humility Card","MAR-HUM-PL","Mary Of Humility Card
Greeting Card With Matching Envelope","
From A Russian Orthodox Icon"
"Ostra Bramskaya Mary Card","MAR-OB-2-PL","Ostra Bramskaya Mary, Of Lithuania, Card","
Greeting Card With Matching Envelope"
"Guadalupe Embellished Card","GUAD-OH-EMB","Our Lady of Guadalupe Embellished Card","
Greeting Card, Hand-Embellished With Glitter And Crystals, With Matching Envelope"
"Lord Hanuman Embellished Card","HAN-EMB","God of Loyalty, Devotion and Service, Hanuman inspires us to develop strength and purity to become perfect servants of the Divine. ""I salute, by bowing down my head, the messenger of Sri Rama, Hanuman, who travels as fast as the mind and the wind, who has won over his sense organs, who is the best among the intelligent, who is the son of the wind god and who is the commander in chief of the army of monkeys.""","
Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope"
"Hanuman Card","HAN-PL","Lord Hanuman, God of Loyalty, Devotion, and Service, Card","
Greeting Card With Matching Envelope"
"Jesus Meditaing Card","JE-OAK-PL","Jesus Meditates Under An Oak Tree Card","
Greeting Card With Matching Envelope"
"Jesus Christ Card","JES-MED-PL","Jesus in meditation under the stars.","
Greeting Card With White Envelope"
"Pure Joy Card","JOY-PL","Joyful Elephant Under a Waterfall","
Greeting Card With Matching Envelope"
"Krishna And Radha Card","K&R-2-PL","Krishna And Rhada, Love Personified, Card","
Greeting Card With Matching Envelope"
"Blessing Buddha Candle","CAN-BUD-BEL","Blessing Buddha With Bowl of Incence Candle","
3 X 6 White, unscented, wax pillar candle with a lead-free wick. Burn time 50-60 hours."
"Krishna and Radha Embellished Card","K&R-2-EMB","Lord Krishna and Radha","
Greeting Card Hand-embellished With Glitter and Crystals, With Matching Envelope"
"Kali Embellished Card","KAL-BLU-EMB","Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope",""
"Goddess Kali Card","KAL-BLU-PL","Black Goddess Kali, <span>Slayer of Time &amp; Death, Destroyer of Illusion,</span> Card
 ","
Greeting Card With Matching Envelope "
"Mary Candle","CAN-MAR-100","Mary of 100 Lights Candle","
3 X 6 White, unscented, wax pillar candle with a lead-free wick. Burn time 50-60 hours."
"Kokopeli Card","KOKO-PL","Southwestern Native American Kokopelli Card","
Greeting Card With Matching Envelope"
"Mother Mary Embellished Card","MAR-ROS-EMB","Queen of Heaven - Hail, O Queen of Heaven enthroned, Hail, by angels mistress owned. Root of Jesse, gate of morn whence the world's true Light was born: Glorious Virgin, Joy to thee. Lovliest whom in heaven they see; fairest thou, where all are fair; plead with Christ our souls to spare.","
Greeting Card Hand-Embellished With Glitter and Crystals, With Matching Envelope"
"Lord Krishna Card","KRI-FLU-2-PL","Lord Krishna Plays His Flute.","
Greeting Card With White Envelope"
"Kuan Yin Riding the Dragon Card","KY-DG2-PL","Kuan Yin, the Bodhisattva of Compassion. Her name means ""Hearer of the Cries of the World."" She is the most beloved and revered of the Chinese deities. Kuan Yin is the Divine Mother we all long for: merciful, tender, compassionate, loving, protecting and wise. She quietly comes to the aid of her children everywhere. Her mantra is 'Om Mani Padme Hum&sbquo;' or 'Hail the Jewel (or pearl) in the Lotus.'","
Greeting Card With White Envelope"
"Bodhisattva Kuan Yin Card","KY-DG3-PL","Kuan Yin is the Bodhisattva of Compassion. Her name means ""Hearer of the Cries of the World."" She is the most beloved and revered of the Chinese deities. Kuan Yin is the Divine Mother we all long for: merciful, tender, compassionate, loving, protecting and wise. She quietly comes to the aid of her children everywhere. Her mantra is 'Om Mani Padme Hum&sbquo;' or 'Hail the Jewel (or pearl) in the Lotus.'","
Greeting Card With White Envelope"
"Kuan Yin Riding the Dragon Card","KY-DR2-PL","Kuan yin, Bodhisattva of Compassion - ""Listen to the deeds of Kuan Yin responding compassionately on every side with great vows, deep as the ocean, through inconceivable periods of time, serving innumerable Buddhas, giving great, clear, and pure vows. To hear her name, to see her body, to hold her in the heart, is not in vain, for she can extinguish the suffering of existence."" ~ From the Buddhist Lotus Sutra","
Greeting Card With White Envelope"
"Feng Shui Buddha Card","FS-BUD-2-PL","Feng Shui Buddha Card","
Greeting Card With Matching Envelope"
"Spirit, The Black Leopard Card","AW-SPIR-PL","The Ascending World Collection
Greeting Card With Matching Envelope","
Spirit, The Black Leopard Card"
"Kuan Yin Mealtime Prayer Card","KY-FD-PL","Quan Yin Mealtime Prayer Card","
Greeting Card With Matching Envelope"
"Kuan Yin, Sitting In a Lotus Patch","KY-GD-PL","Kuan Yin Sitting In A Lotus Patch Card","
Greeting Card With Matching Envelope"
"Kuan Yin On Dragon Card","KY-LI-PL","Goddess Kannon On A Dragon Card","
Greeting Card With Matching Envelope"
"&quot;Happy Birthday&quot; Card","M-HB-PL","""Happy Birthday"" Card With Dogs Gifting","
Greeting Card With Matching Envelope"
"&quot;The Gift&quot; Card","M-GIF-PL","""The Gift"" Card, Fairie Holding a Gift","
Greeting Card With Matching Envelope"
"Kuan Yin in Lordly Pose Card","KYLP-PL","Kuan Yin is the Bodhisattva of Compassion. Her name means ""Hearer of the Cries of the World."" She is the most beloved and revered of the Chinese deities. Kuan Yin is the Divine Mother we all long for: merciful, tender, compassionate, loving, protecting and wise. She quietly comes to the aid of her children everywhere. Her mantra is 'Om Mani Padme Hum&sbquo;' or 'Hail the Jewel (or pearl) in the Lotus.'","
Greeting Card With White Envelope"
"Kuan Yin Under Full Moon Card","KY-MN-PL","Kuan Yin Under The Full Moon Card","
Greeting Card With Matching Envelope"
"Kuan Yin in Royal Ease Card","KY-ROY-PL","Kuan Yin is the Bodhisattva of Compassion. Her name means ""Hearer of the Cries of the World."" She is the most beloved and revered of the Chinese deities. Kuan Yin is the Divine Mother we all long for: merciful, tender, compassionate, loving, protecting and wise. She quietly comes to the aid of her children everywhere. Her mantra is 'Om Mani Padme Hum' or 'Hail the Jewel (or pearl) in the Lotus.'","
Greeting Card With White Envelope"
"Kuan Yin Riding The Wave Card","KY-WAV-PL","Bodhisattva Kannon Riding The Great Wave Card","
Greeting Card With Matching Envelope"
"Kuan Yin Water & Moon Card","KY-WM-PL","Kuan Yin Water &amp; Moon Card","
Greeting Card With Matching Envelope"
"Seeking Shade Card","M-TH-PL","Mouse Sitting Under a Mushroom","
Greeting Card With Matching Envelope"
"Goddess Lakshmi Embellished Card","LAK-EL-EMB","Goddess Lakshmi Embellished Card
Greeting Card, Hand-Embellished With Glitter And Crystals, With Matching Envelope","
Hindu Goddess of Love, Beauty, and Prosperity"
"Angels of The Holy Grail Card","GRAIL-PL","Angels of The Holy Grail Card, by Frederick J. Waugh, 1912","
<span class=""smallPrint"">Greeting Card With Matching Envelope</span>"
"Goddess Lakshmi Card","LAK-EL-PL","Goddess Lakshmi Card
Greeting Card With Matching Envelope","
Hindu Goddess of Love, Beauty, and Prosperity"
"Angelic Host In Paradise Card","HOST-PL","Angelic Host In Paradise Card","
Greeting Card With Matching Envelope"
"Kokopelli Embellished Print","KOKO-EMB-PR","Kokopelli, Native American Zuni Figure","
Hand-Embellished Print With Glitter and Cyrstals"
"Love Card","LV-PL","Greeting Card With White Envelope",""
"Maha Kali Card","MAH-KAL-PL","Maha Kali, Slayer of Time &amp; Death, Destroyer of Illusion, Card","
Greeting Card With Matching Envelope"
"Maha Lakshmi Card","MA-LAK-PL","Hindu Goddess Maha Lakshmi Card","
Greeting Card With Matching Envelope"
"Mother Mary Card","MAR-CR-PL","Mary With Her Rosary Card","
Greeting Card With Matching Envelope"
"Pink Heart Mary Card","MAR-HT-PL","Pink Heart Mary Card By Charles B. Chambers","
Greeting Card With Matching Envelope"
"Mother Mary Card","MAR-HT-1-PL","Hail Mary! Again and again we greet the Mother of God and our Mother sweet. We look on that beautiful, loving face so full of glory, so full of grace. And we sigh for the day when we shall rest in thy tender arms, on thy loving breast. The day when our exile will be past, when thou shalt show us thy Child at last. ~ Cardinal Wiseman
Greeting Card With White Envelope","
 "
"Mary And Child Card","MC-BLU-PL","Madonna And Child Surrounded by Angel Musicians","
Greeting Card With Matching Envelope"
"Mother Mary Card","MC-LIL-PL","Mother and Child With The Lilies Card By Adolphe William Bouguereau","
Greeting Card With Matching Envelope"
"Madonna Embellished Print","MA-LV-EMB-PR","Madonna Embellished Print by Lorenzo Veneziano, 1357
Custom Print, Hand-Embellished With Glitter and Crystals","
 "
"Archangel Metatron Card","META-PL","The name Metatron is from the Greek Meta+Tron meaning Beyond+Matrix. Metatron is the highest of the angels and serves as the celestial scribe. He is one of the most important angels in the heavenly hierarchy and transmits the daily orders of God to the angels Gabriel and Sammael. He is a member of a special group that is permitted to look at God&sbquo;&Auml;&ocirc;s countenance - an honor most angels do not share. In the literature, Metatron is often referred to as ""the Prince of the Countenance.""","
Greeting Card With White Envelope"
"Archangel Michael Card","MIC-BLK-PL","Michael, Chief Of The Archangels, Card","
Greeting Card With Matching Envelope"
"Archangel Michael Card","MIC-MOS-PL","Archangel Michael Slaying The Dragon Mosaic Card","
Greeting Card With Matching Envelope"
"Archangel Michael Card","MIC-VEC-PL","His name means ""Who is as God."" Michael is the Chief of the Archangels, and is the Angel of Repentance, Righteousness, Mercy and Sanctification. He is also known as ""The Prince of Light,"" a spiritual warrior who wages war against the sons of darkness.","
Greeting Card With White Envelope"
"White Tiger And Water Lilies Card","WT-WL-PL","White Tiger In Water, With White Water Lilies Card","
Greeting Card With Matching Envelope"
"Purple Dragon Card","P-DRA-PB-PL","Purple Dragon by Santa Fe Artist Patti Blair","
Greeting Card With White Envelope"
"Rama and Sita Card","RAM-SIT-PL","Greeting Card With White Envelope",""
"Archangel Raphael Card","RAP-MOS-PL","Archangel Raphael Mosaic Card","
Greeting Card With Matching Envelope"
"Archangel Raphael Card","RAPH-PL","Raphael means ""God Heals."" Archangel Raphael is always enveloped in a beautiful emerald green light. Green is the color of healing. Raphael is above all, the Angel of Healing. But he is also one of the six angels of Repentance, Prayer, Love, Joy and Light. He is said to be both the friendliest and the funniest of the angel flock.","
Greeting Card With White Envelope"
"Rama and Sita Card","RS-HL-PL","Rama, Sita, Hanuman, and Lakshmana","
Greeting Card With White Envelope"
"Goddess Saraswati Card","SAR-4-PL","Goddess Saraswati On The Lotus Flower Card","
Greeting Card With Matching Envelope"
"Goddess Saraswati Card","SAR-BD-PL","Saraswati, Goddess of Creativity, Inspiration, and Music Card","
Greeting Card With Matching Envelope"
"Lord Rama Card","RAMA-PL","Lord Rama, Warrior King, Card","
Greeting Card With Matching Envelope"
"Goddess Savitri Card","SAV-1-PL","Goddess Savitri is a manifestation of Goddess Saraswati, the Hindu deity of learning, music, and the arts. She is the consort of Hindu God Brahma. ""A power dwelt in her soul too  great for earth. A bliss lived in her too large for heaven, light too intense for thought and love too boundless, for earth's emotions lit her skies of mind and  spread though her deep and happy seas of soul. All that is sacred in the world drew near to her divine passivity of mood. A marvelous voice of silence breathed its thoughts. All things in Time and Space she had taken for her. In her they moved, in her they lived and were. The whole wide world clung to her for delight."" ~ Sri Aurobindo","
Greeting Card With White Envelope"
"Goddess Savitri Card","SAV-2-PL","Goddess Savitri is a manifestation of Goddess Saraswati, the Hindu deity of learning, music, and the arts. She is the consort of Hindu God Brahma. ""A power dwelt in her soul too  great for earth. A bliss lived in her too large for heaven, light too intense for thought and love too boundless, for earth's emotions lit her skies of mind and  spread though her deep and happy seas of soul. All that is sacred in the world drew near to her divine passivity of mood. A marvelous voice of silence breathed its thoughts. All things in Time and Space she had taken for her. In her they moved, in her they lived and were. The whole wide world clung to her for delight."" ~ Sri Aurobindo","
Greeting Card With White Envelope"
"Goddess Shakti Card","SHAK-2-PL","Shakti, Divine Feminine Creative Force Card","
Greeting Card With Matching Envelope"
"Goddess Shakti Card","SHAK-3-PL","Divine Feminine Creative Force: The word Shakti is from Sanskrit ""shak"" or ""to be able."" She is the sacred force or empowerment which is the primordial cosmic energy representing the dynamic forces that move through the entire universe. Shakti is the concept, or personification, of divine feminine creative power, sometimes referred to as ""The Great Divine Mother.""","
Greeting Card With White Envelope"
"Goddess Shakti Card","SHAK-4-PL","Goddess Shakti Divine Creatrix Card","
Greeting Card With Matching Envelope"
"Goddess Shakti Card","SHAK-PL","Divine Feminine Creative Force: The word Shakti is from Sanskrit ""shak"" or ""to be able."" She is the sacred force or empowerment which is the primordial cosmic energy representing the dynamic forces that move through the entire universe. Shakti is the concept, or personification, of divine feminine creative power, sometimes referred to as ""The Great Divine Mother.""","
Greeting Card With White Envelope"
"Lord Shiva Card","SHI-3-PL","Lord Shiva, Hindu Supreme God, Card","
Greeting Card With Matching Envelope"
"Kuan Yin Candle","CAN-KY-LP","Bodhisattva Kuan Yin Compassion Candle
 ","
3 X 6 White, unscented, wax pillar candle with a lead-free wick. Burn time 50-60 hours."
"Goddess Lakshmi Embellished Print","LAK-PB-EMB-PR","Goddess Lakshmi, Goddess of Love, Beauty, and Prosperity
8 X 10 Custom Hand-Embellished Art Print","
From a Watercolor by Santa Fe Artist Patti Blair"
"Lord Shiva Card","SHI-BAT-PL","""Om. I bow down to Lord Shiva, who is the creator and protector of the universe, who is the greatest among gods, who has three eyes, who is the annihilator of all the three worlds, one whose throat is blue, who is the conqueror of death, who is the Lord of all, who is propitious who is possessed of all marks of greatness and who is the greatest among Gods. To him my prostrations.""","
Greeting Card With White Envelope"
"Saint Francis Card","ST-FR-NR-PL","Hear our humble prayer, O God, for our friends the animals, especially for animals who are suffering; for animals that are overworked, underfed and cruelly treated; for all wistful creatures in captivity that beat their wings against bars; for any that are hunted or lost or deserted or frightened or hungry; for all that must be put death. We entreat for them all Thy mercy and pity, and for those who deal with them we ask a heart of compassion and gentle hands and kindly words. Make us, ourselves, to be true friends to animals, and so to share the blessings of the merciful. ~ Albert Schweitzer ","
Greeting Card With White Envelope"
"Tiger and Lotus Card","TIG-LOT-PL","Tiger In The Water With a Lotus Blossom","
Greeting Card With Matching Envelope"
"Holy Trinity Card","TRIN-PL","Greeting Card With White Envelope",""
"Archangel Uriel Card","URI-MOS-PL","Archangel Uriel Mosaic Card","
Greeting Card With Matching Envelope"
"Archangel Uriel Embellished Print","URI-MOS-EMB-PR","The name Uriel means ""God is My Light."" He is the master of the Powers of Law and is the angel of Ecology, Divine Order, and Natural Harmony and Balance. He looks after the natural world and is the protector of the fairy worlds. In his feminine form he is also known as Ariel. Archangel Uriel can help you to transmute and transform your life through focus, commitment, determination, and dedication.","
Custom Print, Hand-Embellished With Glitter and Crystals"
"Virgin In Paradise Card","VIR-PA-PL","Virgin In Paradise Card","
Greeting Card With Matching Envelope"
"Vishnu and Lakshmmi Card","VIS-LAK-PL","Lord Vishnu &amp; Goddess Lakshmi.","
Greeting Card With White Envelope"
"Lord Vishnu Embellished Card","VISH-EMB","The Preserver, Lord of the Heart - ""I bow to Vishnu, with the benign form, reclining on the serpent. The lotus issues forth from the navel and He is the very universe. He is the supreme among the Gods, the consort of Lakshmi, and He resplendent like the sky, and the color of the clouds and with auspicious limbs. His eyes are beautiful like the lotus and He is ever in the hearts of His bevolved devotees. He is the one and only Lord of all this universe and can save us from the cycle of repeated births and deaths.""","
Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope"
"Woman With Lotus Card","WWL-PL","Woman Holding a Lotus Blossom","
Greeting Card With Matching Envelope"
"Mystic Stallion Card","AW-MS-PL","The Ascending World Collection
Greeting Card With White Envelope","
Mystic Black Stallion Card"
"Young Krishna Card","YNG-KRI-PL","Greeting Card With White Envelope",""
"Virgin Embellished Card","VIR-JS-EMB","Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope",""
"Lord Brahma Print","BRAM-PL-PR","Lord Brahma is the Creator of the Universe, the Supreme Being, the God of gods. He is the originator and the generator of mankind, and symbolizes the universal mind and the intellect. Brahma uses the swan as His vehicle. A swan possesses exceptional discernment which enables it to distinguish pure milk from a mixture of milk and water. This conveys the idea that there is only one Supreme Reality from which the entire universe emanates.","
Custom Print"
"Angel In Prayer Print","AN-PRY-PR","""Angels transcend every religion, every philosophy, every creed. In fact angels have no religion as we know it. Their existence precedes every religious system that has ever existed on earth."" ~ St. Thomas Aquinas","
Custom Print"
"Angel In Prayer Embellished Print","AN-PRY-EMB-PR","Angel in Prayer With Candle and Incense Burner
8 X 10 Custom Art Print, Hand-Embellished with Glitter and Crystals","
""Angels transcend every religion, every philosophy, every creed. In fact angels have no religion as we know it. Their existence precedes every religious system that has ever existed on earth."" ~ St. Thomas Aquinas"
"Archangel Gabriel Print","GAB-FLU-PL-PR","Gabriel means ""God is my strength"". He is one of the most beloved and highest ranked of all angels. Gabriel is the Angel of Annunciation, Resurrection, Mercy, Death and Revelation. He sits at the left hand of God and is guardian of the Garden of Eden, and chief of the cherubim.","
Custom Print"
"Ganesha Purana Print","GAN-BL-PL-PR","In Hindu mythology, Lord Ganesh (or Ganesha) is the son of Lord Shiva and the Divine Mother Parvati. GANA means 'all existing beings in names and forms,' and ISHA means 'Lord.' Ganesh removes all obstacles and ensures success in human endeavors. He is an archetype of Wisdom and Beneficence.","
Ganesh 8X10 Art Print"
"Archangel Michael Print","MIC-BLK-PL-PR","His name means ""Who is as God."" Michael is the Chief of the Archangels, and is the Angel of Repentance, Righteousness, Mercy and Sanctification. He is also known as ""The Prince of Light,"" a spiritual warrior who wages war against the sons of darkness.",""
"Christ in Gethsemane Print","CHR-GETH-PL-PR","Christ in the Garden of Gethsemane","
8 X 10 Custom Art Print"
"Goddess Lakshmi Embellished Card","MA-LAK-EMB","Hindu Goddess Embellished Lakshmi Card
Greeting Card, Hand-Embellished With Glitter And Crystals, With Matching Envelope","
Hindu Goddess of Love, Beauty, and Prosperity"
"Kuan Yin Embellished Card","KYLP-EMB","Kuan Yin is the Bodhisattva of Compassion. Her name means ""Hearer of the Cries of the World."" She is the most beloved and revered of the Chinese deities. Kuan Yin is the Divine Mother we all long for: merciful, tender, compassionate, loving, protecting and wise. She quietly comes to the aid of her children everywhere. Her mantra is 'Om Mani Padme Hum&sbquo;' or 'Hail the Jewel (or pearl) in the Lotus.'","
Greeting Card Hand-Embellished With Glitter and Crystals, With Matching Envelope"
"Jesus In The Forest Print","JE-FOR-PL-PR","Jesus In The Forest, With the Animals, Print","
8 X 10 Custom Art Print"
"Buddha Triptych Card","TRI-BUD-PL","Buddha Triptych Card","
Greeting Card With Matching Envelope"
"Kuan Yin Triptych Card","TRI-KY-PL","Bodhisattva Kuan Yin Triptych","
Greeting Card With Matching Envelope"
"Archangel Gabriel Card","GAB-PS-PL","Gabriel means ""God is My Strength."" He is one of the most beloved and highest ranked of all angels. Gabriel is the Angel of Annunciation, Ressurection, Mercy, Death and Revelation. He sits at the left hand of God and is guardian of the Garden of Eden, and chief of the cherubim.","Greeting Card With White Envelope"
"Lord Ganesh Embellished Print","GAN-BL-EMB-PR","In Hindu mythology, Lord Ganesh (or Ganesha) is the son of Lord Shiva and the Divine Mother Parvati. GANA means 'all existing beings in names and forms,' and ISHA means 'Lord.' Ganesh removes all obstacles and ensures success in human endeavors. He is an archetype of Wisdom and Beneficence.","
Custom Print Hand-embellished with Glitter and Crystals"
"Woman With Lotus Embellished Card","WWL-EMB","Say not, ""I have found the truth,"" but rather, ""I have found a truth."" Say not, ""I have found the path of the soul."" Say rather, ""I have met the soul walking upon my path."" For the soul walks upon all paths. The soul walks not upon a line, neither does it grow like a reed. The soul unfolds itself like a lotus of countless petals. ~ Kahlil Gibran ","
Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope"
"His Holiness The Dalai Lama Print","DL-2-PL-PR","<span class=""normal"">His Holiness The Dalai Lama, In Prayer, Print</span>","
Custom 8 X 10 Art Print"
"Buddha Nature Print","BUD-NAT-PR","Buddha in Nature With the Animals","
Custom 8 X 10 Art Print"
"Mary Embellished Card","MAR-CR-EMB","Mother Mary With a Rosary Embellished Card","
Greeting Card Hand-Embellished With Glitter and Crystals, With Matching Envelope"
"Absolute World, Hindu Heaven Card","ABS-W-PL","Absolute World, Hindu Heaven Card","
Greeting Card With White Envelope"
"Absolute World ","ABS-W-EMB","Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope",""
"Angel In Prayer Embellished Card","AN-PRY-EMB","Angel in Prayer With Candle and Incense Burner","
<span style=""font-size: 12px; line-height: 14px;"">Greeting Card Hand-Embellished With Glitter and Crystals, With Matching Envelope.</span>"
"Archangel Gabriel Embellished Card","GAB-FLU-EMB","Archangel Gabriel Playing The Flute Embellished Card","
Greeting Card Hand-Embellished With Glitter and Crystals, With Matching Envelope"
"Buddha Nature Card","BUD-NAT-PL","Buddha in Nature With The Animals Card","
Greeting Card With Matching Envelope"
"Archangel Gabriel Embellished Card","GAB-MOS-EMB","Archangel Gabriel Holding Lilies and an Ave Maria Banner Mosaic Embellished Card","
Greeting Card Hand-Embellished With Glitter and Crystals, With Matching Envelope"
"The Chakras Card","CHAK-PL","The Chakras, Or Energy Wheels, Card","
Greeting Card With Matching Envelope"
"Chakras Embellished Card","CHAK-EMB","<p class=""smallprint"">Chakras is a Sanskrit word for wheel or disk, and signifies one of seven basic energy centers in the body.","
<p class=""smallprint"">Greeting Card Hand-Embellished With Glitter and Crystals, With Matching Envelope."
"Blue Dasher Card","BLU-DAS-PL","Blue Dasher Hummingbird Landing On a Branch Card","
Greeting Card With Matching Envelope"
"Chenrezig, Embodiment of Compassion Card","CHEN-PL","Chenrezig, Bodhisattva Who is The Embodiment of Compassion, Card","
Greeting Card With Matching Envelope"
"Archangel Gabriel Card","GAB-MOS-PL","Archangel Gabriel Mosaic Card","
Greeting Card With Matching Envelope"
"Archangel Gabriel Card","GAB-FLU-PL","Archangel Gabriel Playing The Flute Card","
Greeting Card With Matching Envelope"
"Chenrezig Embellished Card","CHEN-EMB","<span class=""normal"">Goddess Chenrezig, Embodiment of Compassion</span>
Greeting Card Hand-Embellished With Glitter and Crystals, With Matching Envelope","
""Every person whose heart is moved by love and compassion, who deeply and sincerely acts for the benefit of others without concern for fame, profit, social position, or recognition expresses the activity of Chenrezig."" ~ Bokar Rinpoche"
"Chenrezig, Buddhist Goddess of Compassion, Card","CHEN-GD-PL","Chenrezig, Buddhist Goddess of Compassion, Card","
Greeting Card With Matching Envelope"
"Amida Buddha Card","BUD-AMID-PL","Amitabha or Meditation Buddha, In Dhyani Mudra Pose, Card","
Greeting Card With Matching Envelope"
"Chenrezig Embellished Card","CHEN-GD-EMB","Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope",""
"Christ Card","CHR-GPS-PL","Greeting Card With White Envelope",""
"Christ The Protector Card","CHR-PRO-PL","Christ, The Protector, Card","
Greeting Card With Matching Envelope"
"Devi Trinity Card","DEV-TRI-PL","<span class=""normal"">The Supreme Goddess Devi Trinity Card</span>","
Greeting Card With Matching Envelope"
"Devi Trinity Embellished Card","DEV-TRI-EMB","Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope",""
